f_id,id,name,funded_at,amount,source
f:563,384,Mezzanine Fund,2011-01-12,956000000.0,http://www.finsmes.com/2011/01/morgan-stanley-investment-management.html
f:6880,385,PointState Fund,2011-01-14,1500000000.0,http://www.finalternatives.com/node/15199?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+cleantechbrief%2Frss+%28CleanTech+Brief%29
f:2836,386,Capricorn Health-Tech Fund,2011-01-06,55200000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110105e716001md&r=Rss&s=DJFVW
f:1104,388,Fund II,2011-01-13,90000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110113e71e0025u&r=Rss&s=DJFVW
f:3551,389,Javelin Venture Fund II,2011-02-15,105000000.0,http://techcrunch.com/2011/02/15/javelin-venture-partners-closes-new-105-million-fund/
f:2139,390,Fund VI,2011-01-12,66000000.0,http://www.masshightech.com/stories/2011/01/10/daily38-Oxford-Bioscience-reported-to-raise-66M-in-new-fund.html
f:4032,392,Fund VI,2012-01-30,1250000000.0,http://www.businessinsider.com/chase-coleman-tiger-global-facebook-2011-1
f:3544,393,HorizonTI,2009-11-01,15000000.0,http://readwriteweb.com.br/2009/12/16/o-fundo-horizonti-da-confrapar-20-milhoes-em-investimento-para-startups/
f:6920,394,lower middle market buyout fund,2011-01-26,200000000.0,http://www.finsmes.com/2011/01/bunker-hill-capital-closes-200m-second.html
f:6930,396,Fund I,2011-01-27,500000000.0,http://www.finsmes.com/2011/01/altamont-capital-partners-closes-first.html
f:6941,397,Mezzanine debt and equity funds IV,2011-01-28,260000000.0,http://www.finsmes.com/2011/01/alpine-closes-4th-fund-at-260m.html
f:6944,398,DBAG Expansion Capital Fund,2011-01-31,0.0,http://www.finsmes.com/2011/01/deutsche-beteiligungs-ag-holds-first.html
f:6947,399,EnCap Energy Capital Fund VIII,2011-01-31,3500000000.0,http://www.finsmes.com/2011/01/encap-investments-l.html
f:6952,400,Zadig Memnon Fund,2011-02-01,4100000000.0,http://www.finalternatives.com/node/15379?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed:+cleantechbrief/rss+(CleanTech+Brief)
f:1855,401,San Francisco Equity Partners III LP,2011-02-02,100000000.0,http://www.bizjournals.com/sanfrancisco/news/2011/02/02/san-francisco-equity-partners-closes.html
f:6970,402,Faering Capital India Evolving Fund,2011-02-01,182400000.0,http://www.business-standard.com/india/news/faering-capital-raises-rs-830-cr-via-pe-fund/124302/on
f:5458,403,Baring Asia Private Equity Fund V,2011-02-02,2460000000.0,http://www.vccircle.com/500/news/baring-private-equity-asia-raises-246b-for-fund-v
f:2928,404,Investment fund III,2011-02-10,129000000.0,http://www.emii.com/Articles/2764797/Hedge-Funds/Hedge-Funds-Articles/Signet-Closes-Third-Fund-At-129M.aspx
f:2647,405,Fund III,2011-09-08,140000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=29&aid=DJFVLS0020110908e7980002u&r=Rss&s=DJFVLS
f:6535,408,Founding fund,2007-01-01,175000000.0,http://www.bizjournals.com/twincities/stories/2007/05/14/story1.html
f:7075,409,Venture capital fund,2011-02-25,100000000.0,http://www.blogoup.com/
f:497,410,Francisco Partners III,2011-02-28,2000000000.0,http://www.finsmes.com/2011/02/francisco-partners-closes-20bn-middle.html
f:7099,414,Sharia-compliant technology fund,2011-03-04,0.0,http://www.prweb.com/releases/2011/03/prweb5126914.htm
f:1,420,Greylock Fund XIII,2011-03-01,1000000000.0,http://venturebeat.com/2011/03/01/greylock-1-billion-fund/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29
f:7135,421,Fund I,2011-03-09,225000000.0,http://finance.yahoo.com/news/Aviator-Capital-Raises-up-to-prnews-269504362.html?x=0&.v=1
f:2760,422,Second Life Science Fund,2011-09-13,133900000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110913e79e00105&r=Rss&s=DJFVW
f:7216,435,Investment Fund I,2011-03-28,60000000.0,http://techcrunch.com/2011/03/28/passion-capital-emerges-in-london-with-60-million-to-seed-startups/
f:1557,437,Venture Capital Fund II,2011-04-01,140000000.0,http://www.pehub.com/100639/dbl-investors-closes-fund-with-140m/
f:42,438,Bessemer Venture Partners VIII,2011-04-01,1600000000.0,http://www.finsmes.com/2011/04/bessemer-venture-partners-closes.html
f:47,440,Insight Venture Partners VII,2011-04-04,1570000000.0,http://techcrunch.com/2011/04/04/twitter-chegg-investor-insight-venture-partners-closes-2-billion-funds/
f:47,441,Insight Venture Partners Coinvestment Fund II,2011-04-04,450000000.0,http://techcrunch.com/2011/04/04/twitter-chegg-investor-insight-venture-partners-closes-2-billion-funds/
f:7261,443,Entrepreneurship fund,2011-04-06,113200000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110406e7470005l&r=Rss&s=DJFVW
f:6566,444,Debut Fund,2011-04-04,35000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110404e74400005&r=Rss&s=DJFVW
f:3127,445,Growth fund,2011-04-06,200000000.0,http://techcrunch.com/2011/04/06/andreessen-horowitz-announces-yet-another-growth-fund-of-200m/
f:7270,446,CI Capital Investors II,2011-04-08,620000000.0,http://www.emii.com/Articles/2804170/Hedge-Funds/Hedge-Funds-Articles/CI-Capital-Raises-620M-PE-Fund.aspx
f:2250,447,Biotech fund,2011-04-06,203000000.0,http://www.globes.co.il/serveen/globes/docview.asp?did=1000636826&fid=1725
f:2997,448,HealthCap VI LP,2011-04-11,0.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=29&aid=DJFVLS0020110409e74b0002t&r=Rss&s=DJFVLS
f:1281,450,Fund I,2011-04-13,450000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=29&aid=DJFVLS0020110413e74d0002t&r=Rss&s=DJFVLS
f:7286,451,Waud Capital Partners III,2011-04-13,463000000.0,http://www.finsmes.com/2011/04/waud-capital-partners-closes-third-pe.html
f:3854,456,Fund I,2011-08-31,180000000.0,http://techcrunch.com/2011/08/31/impressive-list-of-u-s-investors-drops-180-million-into-chinese-startup-incubator/
f:5,457,Fund IV,2011-04-28,425000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110427e74s001e1&r=Rss&s=DJFVW
f:286,458,Matrix Partners China II,2011-04-29,350000000.0,http://www.masshightech.com/stories/2011/04/25/daily68-Matrix-closes-650M-in-two-new-funds.html
f:286,459,Matrix Partners India II,2011-04-29,300000000.0,http://www.masshightech.com/stories/2011/04/25/daily68-Matrix-closes-650M-in-two-new-funds.html
f:3181,461,SV Angel III,2011-05-05,40000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110504e755001jl&r=Rss&s=DJFVW
f:6140,463,Angel Round,2011-04-13,600000.0,http://www.investiere.ch/en/blog/investierech-raises-600-000-scale-its-startup-financing-platform
f:1140,464,Tandem Fund II L.P.,2011-05-12,40000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110512e75d001e1&r=Rss&s=DJFVW
f:66,466,Khosla Ventures IV,2011-06-19,1050000000.0,http://gigaom.com/cleantech/khosla-raising-1-05b-fourth-fund/
f:4691,469,Fund II,2011-05-23,25000000.0,http://techcrunch.com/2011/05/23/lerer-ventures-raises-second-25m-seed-fund-for-nyc-startups/
f:7466,470,Fund II,2011-05-24,125000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=29&aid=DJFVLS0020110525e75p0002t&r=Rss&s=DJFVLS
f:7469,471,Agility Fund lll,2011-05-25,0.0,http://www.businesswire.com/news/home/20110525005553/en/Agility-Ventures-Announces-Investment-Fund-Funds-Provide
f:1241,474,Fund I,2011-05-31,14100000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110531e761001ba&r=Rss&s=DJFVW
f:7518,478,Peterson Partners Fund VI,2011-06-06,50000000.0,http://www.finsmes.com/2011/06/peterson-partners-closes-private-equity-fund-50m.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:2063,480,BlueCross BlueShield Venture Partners II,2011-06-09,176900000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=29&aid=DJFVLS0020110609e7690002u&r=Rss&s=DJFVLS
f:641,481,Sofinnova Capital V,2005-02-07,385000000.0,http://www.sofinnova.fr/sofinnova-partners-closes-fifth-fund-at-%80385-actu-269.php
f:641,482,Sofinnova Capital IV,2001-04-26,330000000.0,http://www.sofinnova.fr/sofinnova-partners-raises-eur-330-million-for-its-news-77.php
f:6604,483,Yuuwa Capital LP IIF,2009-11-07,40000000.0,http://minister.innovation.gov.au/Carr/MediaReleases/Pages/$40MILLIONTOBOOSTINNOVATIVESTART-UPSINWA.aspx
f:4,484,Accel XI,2011-06-16,475000000.0,http://techcrunch.com/2011/06/16/accel-1-35-billion/
f:4,485,Accel Growth Fund II,2011-06-16,875000000.0,http://techcrunch.com/2011/06/16/accel-1-35-billion/
f:1430,487,Health-Care Fund V,2011-06-17,25000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110617e76h000b5&r=Rss&s=DJFVW
f:7592,489,VMG Partners II,2011-06-22,375000000.0,http://www.finsmes.com/2011/06/vmg-partners-closes-pe-fund-375m.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:3724,490,CincyTech Fund II,2011-06-22,4400000.0,http://www.finsmes.com/2011/06/cincytech-closes-fund-4-4m.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:262,491,DAG Ventures V-QP,2011-06-24,500000000.0,http://venturebeat.com/2011/06/24/dag-ventures-fund-v/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29
f:1190,492,Harbert Venture Partners III,2011-06-28,56300000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110628e76t000p1&r=Rss&s=DJFVW
f:890,494,Fund VII,2012-02-28,249000000.0,http://www.finsmes.com/2012/02/edison-ventures-closes-fund-vii-249m.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:3258,495,China-focused investment fund IV,2011-07-06,350000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110706e7760005m&r=Rss&s=DJFVW
f:7025,496,H.I.G. Growth Equity Fund II,2011-07-06,500000000.0,http://www.finsmes.com/2011/07/h-i-g-capital-closes-private-equity-fund-500m.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:7687,497,Axxon Brazil Private Equity Fund II,2011-07-10,315000000.0,http://www.finsmes.com/2011/07/axxon-group-closes-private-equity-fund-315m.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:1170,499,Fund VI,2011-07-11,405000000.0,http://techcrunch.com/2011/07/11/industry-ventures-closes-400-million-secondary-fund-exceeds-1b-of-capital/
f:7696,500,Buyout and growth capital fund,2011-07-12,400000000.0,http://www.finsmes.com/2011/07/shamrock-capital-advisors-closes-400m-buyout-growth-capital-fund.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:1316,501,Fund III,2012-04-05,282200000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020120405e845r3vms&r=Rss&s=DJFVW
