c_id,f_id,date,round,amount
c:4394,f:1312,2008-04-15,series-b,6600000
c:330,f:1214,2008-04-21,series-c+,20000000
c:330,f:205,2008-04-21,series-c+,20000000
c:330,f:202,2008-04-21,series-c+,20000000
c:330,f:13,2008-04-21,series-c+,20000000
c:330,f:1215,2008-04-21,series-c+,20000000
c:330,f:206,2008-04-21,series-c+,20000000
c:330,f:207,2008-04-21,series-c+,20000000
c:330,f:1028,2008-04-21,series-c+,20000000
c:330,f:1217,2008-04-21,series-c+,20000000
c:330,f:1216,2008-04-21,series-c+,20000000
c:4508,f:4,2006-01-01,series-b,15500000
c:4508,f:48,2006-01-01,series-b,15500000
c:4582,f:267,2006-12-12,series-b,9000000
c:4582,f:776,2006-12-12,series-b,9000000
c:4582,f:417,2006-12-12,series-b,9000000
c:3983,f:249,2008-04-21,series-b,130000000
c:3983,f:231,2008-04-21,series-b,130000000
c:12,f:45,2008-05-01,series-b,15000000
c:12,f:168,2008-05-01,series-b,15000000
c:12,f:34,2008-05-01,series-b,15000000
c:12,f:1018,2008-05-01,series-b,15000000
c:512,f:517,2008-04-28,series-b,3250000
c:183,f:192,2008-01-23,series-b,6000000
c:183,f:26,2008-01-23,series-b,6000000
c:4826,f:3120,2008-04-29,series-a,8000000
c:4826,f:46,2008-04-29,series-a,8000000
c:4826,f:137,2008-04-29,series-a,8000000
c:453,f:168,2008-04-01,series-b,3000000
c:4873,f:892,2008-04-29,series-c+,40000000
c:4873,f:123,2008-04-29,series-c+,40000000
c:4873,f:272,2008-04-29,series-c+,40000000
c:4873,f:1031,2008-04-29,series-c+,40000000
c:4873,f:83,2008-04-29,series-c+,40000000
c:4892,f:48,2008-04-01,series-a,3500000
c:792,f:367,2008-02-06,series-a,3700000
c:792,f:368,2008-02-06,series-a,3700000
c:5032,f:215,2008-05-06,series-b,20400000
c:5032,f:773,2008-05-06,series-b,20400000
c:5032,f:420,2008-05-06,series-b,20400000
c:5067,f:430,2005-01-15,series-c+,15000000
c:5067,f:23,2005-01-15,series-c+,15000000
c:5067,f:1158,2005-01-15,series-c+,15000000
c:5067,f:596,2005-01-15,series-c+,15000000
c:1213,f:23,2006-01-01,series-a,1250000
c:5274,f:111,2006-04-14,series-a,4400000
c:5274,f:64,2006-04-14,series-a,4400000
c:5274,f:1069,2006-12-18,series-b,7500000
c:5274,f:111,2006-12-18,series-b,7500000
c:5274,f:64,2006-12-18,series-b,7500000
c:5276,f:1070,2008-02-04,series-a,0
c:5293,f:136,2008-04-22,series-b,7000000
c:5293,f:66,2008-04-22,series-b,7000000
c:5293,f:680,2008-04-22,series-b,7000000
c:5293,f:1072,2008-04-22,series-b,7000000
c:5293,f:1073,2008-04-22,series-b,7000000
c:5293,f:1074,2008-04-22,series-b,7000000
c:5293,f:231,2008-04-22,series-b,7000000
c:5293,f:66,2007-06-01,series-a,9500000
c:5293,f:136,2007-06-01,series-a,9500000
c:5293,f:231,2007-06-01,series-a,9500000
c:5314,f:814,2008-05-13,series-b,3000000
c:5314,f:268,2008-05-13,series-b,3000000
c:3556,f:4,2008-05-07,series-b,16000000
c:3556,f:562,2008-05-07,series-b,16000000
c:3556,f:230,2008-05-07,series-b,16000000
c:5342,f:1047,2008-04-15,series-a,4500000
c:5342,f:510,2008-04-15,series-a,4500000
c:5342,f:1879,2008-04-15,series-a,4500000
c:5244,f:105,2004-01-01,series-a,0
c:5429,f:1088,2003-01-01,series-a,23000000
c:5429,f:227,2008-02-19,series-b,10000000
c:5429,f:1088,2008-02-19,series-b,10000000
c:5429,f:23,2008-05-15,series-c+,54000000
c:5429,f:227,2008-05-15,series-c+,54000000
c:5429,f:1088,2008-05-15,series-c+,54000000
c:1512,f:286,2008-05-16,series-b,12000000
c:1512,f:507,2008-05-16,series-b,12000000
c:760,f:133,2007-09-10,series-c+,135000000
c:760,f:249,2007-09-10,series-c+,135000000
c:760,f:361,2007-09-10,series-c+,135000000
c:760,f:36,2007-09-10,series-c+,135000000
c:760,f:258,2007-09-10,series-c+,135000000
c:4392,f:17,2007-05-01,series-a,10000000
c:4392,f:446,2007-05-01,series-a,10000000
c:5582,f:93,2008-05-20,series-a,21000000
c:5588,f:1094,2007-03-07,series-b,15000000
c:5588,f:799,2007-03-07,series-b,15000000
c:5588,f:61,2007-03-07,series-b,15000000
c:2605,f:26,2007-03-08,series-a,3500000
c:2605,f:242,2007-03-08,series-a,3500000
c:2605,f:620,2007-03-08,series-a,3500000
c:5607,f:116,2007-03-01,series-b,5500000
c:3182,f:510,2007-11-07,series-a,4000000
c:5644,f:116,2008-05-21,series-b,5700000
c:5644,f:1100,2008-05-21,series-b,5700000
c:5644,f:116,2007-03-28,series-a,1530000
c:34,f:316,2008-05-20,series-c+,18000000
c:34,f:127,2008-05-20,series-c+,18000000
c:34,f:3439,2008-05-20,series-c+,18000000
c:34,f:3181,2007-07-27,series-b,10000000
c:262,f:173,2007-04-17,series-a,9000000
c:262,f:174,2007-04-17,series-a,9000000
c:5693,f:30,2008-05-22,series-a,1000000
c:5693,f:1117,2008-05-22,series-a,1000000
c:5588,f:116,2005-06-09,series-a,12000000
c:5588,f:61,2005-06-09,series-a,12000000
c:5588,f:409,2005-06-09,series-a,12000000
c:5588,f:1118,2005-06-09,series-a,12000000
c:5588,f:327,2007-06-12,series-b,5100000
c:5588,f:1094,2007-06-12,series-b,5100000
c:5588,f:799,2007-06-12,series-b,5100000
c:5588,f:61,2007-06-12,series-b,5100000
c:3194,f:510,2007-07-10,series-b,10000000
c:5867,f:316,2006-05-08,series-a,5800000
c:5084,f:177,2007-07-16,series-b,3500000
c:5084,f:1148,2007-07-16,series-b,3500000
c:5543,f:367,2007-07-23,series-a,0
c:5543,f:64,2007-07-23,series-a,0
c:5543,f:29,2007-07-23,series-a,0
