invested_id,investor_id,date,round,amount
c:164245,p:136202,2013-04-12,series-b,4700000
c:1475,p:57508,2013-09-10,private-equity,4700000
c:1475,p:214773,2013-09-10,private-equity,4700000
c:1475,p:29330,2013-09-10,private-equity,4700000
c:1475,p:806,2013-09-10,private-equity,4700000
c:1475,p:232338,2013-09-10,private-equity,4700000
c:196748,p:13163,2013-04-15,venture,1000000
c:196748,p:27779,2013-04-15,venture,1000000
c:196748,p:110368,2013-04-15,venture,1000000
c:173674,p:15792,2013-04-16,series-a,5500000
c:170680,p:182907,2013-03-01,angel,1000000
c:196997,p:57508,2013-06-06,series-a,2500000
c:196997,p:1069,2013-06-06,series-a,2500000
c:196997,p:20664,2013-06-06,series-a,2500000
c:196997,p:62307,2013-06-06,series-a,2500000
c:196997,p:232372,2013-06-06,series-a,2500000
c:196980,p:770,2013-04-17,venture,700000
c:196980,p:73361,2013-04-17,venture,700000
c:196980,p:182781,2013-04-17,venture,700000
c:196980,p:182786,2013-04-17,venture,700000
c:163616,p:69741,2013-04-16,angel,1000000
c:163616,p:70277,2013-04-16,angel,1000000
c:153968,p:1657,2013-04-17,series-a,2400000
c:153968,p:2602,2013-04-17,series-a,2400000
c:153968,p:4004,2013-04-17,series-a,2400000
c:153968,p:84899,2013-04-17,series-a,2400000
c:153968,p:183554,2013-04-17,series-a,2400000
c:153968,p:71052,2013-04-17,series-a,2400000
c:197991,p:17015,2013-04-17,series-b,14000000
c:162982,p:253977,2013-04-18,series-a,5000000
c:15913,p:755,2013-04-17,venture,15000000
c:46530,p:16014,2013-04-18,venture,0
c:198954,p:21748,2013-04-19,series-a,9400000
c:198954,p:16370,2013-04-19,series-a,9400000
c:164076,p:184093,2013-04-23,angel,900000
c:164076,p:184522,2013-04-23,angel,900000
c:164076,p:124969,2013-04-23,angel,900000
c:164076,p:184097,2013-04-23,angel,900000
c:2942,p:184725,2013-04-22,private-equity,0
c:2942,p:184726,2013-04-22,private-equity,0
c:166855,p:1631,2013-04-22,series-a,5900000
c:166855,p:7572,2013-04-22,series-a,5900000
c:166855,p:1651,2013-04-22,series-a,5900000
c:70231,p:84775,2013-04-22,series-a,1000000
c:70231,p:184796,2013-04-22,series-a,1000000
c:70231,p:184797,2013-04-22,series-a,1000000
c:70231,p:33666,2013-04-22,series-a,1000000
c:70231,p:184798,2013-04-22,series-a,1000000
c:196021,p:47133,2013-04-25,angel,325000
c:196021,p:89201,2013-04-25,angel,325000
c:174392,p:67676,2013-04-24,venture,0
c:174392,p:185033,2013-04-24,venture,0
c:174392,p:71086,2013-04-24,venture,0
c:174392,p:185034,2013-04-24,venture,0
c:174392,p:71085,2013-04-24,venture,0
c:174392,p:115925,2013-04-24,venture,0
c:201190,p:495,2013-04-24,series-a,7000000
c:201190,p:17424,2013-04-24,series-a,7000000
c:20882,p:145109,2013-04-26,angel,1400000
c:20882,p:29330,2013-04-26,angel,1400000
c:20882,p:2051,2013-04-26,angel,1400000
c:20882,p:145311,2013-04-26,angel,1400000
c:196009,p:185514,2013-04-25,venture,1000000
c:196009,p:16519,2013-04-25,venture,1000000
