acquired_id,acquiring_id,price_amount
c:145876,c:145786,0.0
c:146208,c:60326,1000000.0
c:146285,c:42590,0.0
c:1465,c:160770,0.0
c:146838,c:146839,200000.0
c:146934,c:46504,0.0
c:146951,c:39172,160000000.0
c:147164,c:28,415000000.0
c:14730,c:14433,0.0
c:1475,c:99,0.0
c:147546,c:8750,80000000.0
c:14757,c:14758,0.0
c:147902,c:58837,0.0
c:14831,c:71,0.0
c:148332,c:72337,30000000.0
c:14854,c:3320,350000000.0
c:14860,c:14861,0.0
c:14861,c:20972,190000000.0
c:149089,c:24869,14400000.0
c:149142,c:49337,0.0
c:149238,c:149089,0.0
c:149239,c:149089,0.0
c:149261,c:49235,0.0
c:149539,c:60177,0.0
c:149540,c:60177,0.0
c:14963,c:255085,0.0
c:15070,c:1654,30000000.0
c:150794,c:6998,0.0
c:15088,c:3246,1400000000.0
c:1509,c:5473,0.0
c:151535,c:174609,9000000.0
c:15154,c:15148,255600000.0
c:15175,c:5182,33000000.0
c:151787,c:823,57000000.0
c:152236,c:150625,0.0
c:152466,c:163,8300000.0
c:15294,c:40595,24000000.0
c:153133,c:43929,3800000.0
c:153380,c:195600,0.0
c:1535,c:9295,0.0
c:1535,c:153802,0.0
c:153622,c:21789,0.0
c:154086,c:11391,0.0
c:15435,c:15436,0.0
c:15451,c:4175,5000000.0
c:15460,c:15461,70000.0
c:1547,c:19531,80000000.0
c:154773,c:29208,20000000.0
c:155,c:59,100000000.0
c:15536,c:57701,0.0
c:15598,c:8750,95000000.0
c:156253,c:25574,62000.0
c:156590,c:31915,860000000.0
c:15751,c:15752,0.0
c:15753,c:15754,0.0
c:15756,c:283,0.0
c:15764,c:25574,5500000.0
c:15769,c:9226,0.0
c:157838,c:33075,0.0
c:158142,c:196848,0.0
c:15820,c:11048,0.0
c:158202,c:158203,0.0
c:158547,c:19433,140000000.0
c:15862,c:3245,5800000000.0
c:15871,c:29414,50000000.0
c:158723,c:159674,0.0
c:1591,c:262,22500000.0
c:159131,c:45810,0.0
c:1595,c:20,945000000.0
c:159642,c:159641,2000000.0
c:159819,c:159820,800000.0
c:15996,c:33731,568000000.0
c:1600,c:29025,300000000.0
c:16037,c:2332,0.0
c:1606,c:350,0.0
c:1607,c:12,15000000.0
c:160711,c:64126,0.0
c:160768,c:160770,0.0
c:161006,c:161008,0.0
c:16105,c:16106,10000000.0
c:161195,c:10309,2477800.0
c:16181,c:5722,25000000.0
c:161997,c:161998,0.0
c:162117,c:79668,0.0
c:16262,c:16263,0.0
c:162797,c:67920,0.0
c:16286,c:2680,495000000.0
c:163337,c:25817,0.0
c:163905,c:3169,2500000.0
c:16393,c:177838,1000000000.0
c:164003,c:18657,0.0
c:16404,c:14963,130000000.0
c:164083,c:52743,2000000.0
c:164283,c:164283,0.0
c:164387,c:7060,0.0
c:164747,c:162144,0.0
c:164753,c:164754,0.0
c:165139,c:425,0.0
c:165289,c:165290,0.0
c:16553,c:16554,0.0
c:165566,c:30822,0.0
c:16602,c:16603,3200000.0
c:16613,c:9514,15000000.0
c:16630,c:45,85000000.0
c:166694,c:166303,0.0
c:16674,c:16675,60000000.0
c:1669,c:1812,20500000.0
c:166945,c:2507,0.0
c:167057,c:83971,0.0
c:167158,c:155640,0.0
c:16726,c:14902,40000000.0
c:16733,c:16734,54000000.0
c:16734,c:323,3100000000.0
c:1674,c:21875,35000000.0
c:168016,c:42220,0.0
c:168618,c:168619,0.0
c:168880,c:77484,0.0
c:16889,c:624,3100000.0
c:16925,c:16926,5000000.0
c:1695,c:352,0.0
c:169594,c:55098,0.0
c:16961,c:18136,11400000.0
c:16984,c:17487,0.0
c:170249,c:105267,0.0
c:170315,c:105267,0.0
