id,name,normalized_name,founded_at
f:10494,EFRE/Innovationsfond Rheinland-Pfalz,efre innovationsfond rheinland pfalz,
f:10496,VersoVentures,versoventures,2012-01-01
f:10498,Falcon Investment Advisors,falcon investment advisors,2000-01-01
f:10499,BCD Holdings,bcd holdings,1975-01-01
f:105,Balderton Capital,balderton,2000-01-01
f:1050,RBC Venture Partners,rbc venture,1969-01-01
f:10500,Bluefield Investments,bluefield investments,
f:10502,Eierfabrik,eierfabrik,
f:10503,Monthly Ventures,monthly ventures,
f:10504,Gibraltar Business Capital,gibraltar business,1951-01-01
f:10505,Optus Innov8,optus innov8,
f:10506,Guild Capital,guild,2009-01-01
f:10507,First Angel Network,first angel network,2005-01-01
f:10509,Portman Asset Finance Ltd,portman asset finance,
f:1051,Fidelity Equity Partners,fidelity equity,2007-01-01
f:10510,Unilazer Ventures,unilazer ventures,
f:10511,Scrum Ventures,scrum ventures,2013-03-01
f:10512,Vesna Investment,vesna investment,2011-01-01
f:10513,Rogue Venture Partners,rogue venture,
f:10514,DFW Capital,dfw,
f:10515,Pine Bridge Capital,pine bridge,
f:10516,Innovation Nest,innovation nest,2010-01-01
f:10518,CashCall,cashcall,2003-01-01
f:10519,Quick Loan Funding,quick loan funding,
f:1052,Media Ventures,media ventures,
f:10520,Hatch,hatch,2011-11-01
f:10521,CRB Inverbío,crb inverbío,2010-01-01
f:10522,Ixora Ventures,ixora ventures,
f:10523,West Family Holdings,west family holdings,
f:10525,womens clothing,womens clothing,
f:10527,Venturepreneurs,venturepreneurs,2007-01-01
f:10528,RisCura,riscura,1999-01-01
f:10529,Qbic Fund,qbic,
f:10530,BECO Capital,beco,2012-01-01
f:10531,Castrol innoVentures,castrol innoventures,
f:10532,Exium Partners,exium,2013-01-01
f:10533,CincinnatiOne,cincinnatione,
f:10534,BackyardVenture,backyardventure,
f:10535,DW Healthcare Partners,dw healthcare,2002-01-01
f:10536,Presta Funding Group,presta funding group,2009-10-19
f:10537,Venue Seen,venue seen,2012-03-05
f:10538,JobsOhio,jobsohio,2011-07-05
f:10541,Augusta & Co,augusta,2002-01-01
f:10544,Cobble Hill Partners,cobble hill,2000-01-01
f:10545,Griffon Ventures,griffon ventures,2012-10-01
f:10549,EarlyBirdCapital,earlybirdcapital,2000-01-01
f:10550,Rutledge Vine Capital,rutledge vine,
f:10552,KAS II LP,kas ii,
f:10555,DominateFund,dominatefund,
f:10556,Take it Worldwide LLC,take it worldwide,
f:10557,New Line Safety LLC,new line safety,
f:10558,Inversiones Montferrat,inversiones montferrat,
f:10559,Naxuri Capital,naxuri,2013-02-01
f:1056,TriplePoint Capital,triplepoint,1987-01-01
f:10560,GSM Fund,gsm,
f:10561,Institute for the Commercialization of Public Research,institute for the commercialization of public research,2007-01-01
f:10562,Pinehurst Advisors,pinehurst advisors,2010-01-01
f:10564,MissionOG,missionog,2012-09-01
f:10565,BMO,bmo,
f:10566,Vine St. Ventures,vine st ventures,
f:10568,Cavallino Capital,cavallino,2007-01-02
f:1057,BancBoston Ventures,bancboston ventures,
f:10570,B5,b5,
f:10571,BioInspire,bioinspire,
f:10572,Meridian Growth Capital,meridian growth,2009-01-01
f:10575,HBS Alumni Angels,hbs alumni angels,2007-01-01
f:10576,Srijan Capital,srijan,2012-07-01
f:10578,"Rockwood Capital, LLC",rockwoodllc,
f:10579,ASBC LLC,asbc,
f:1058,BlackBerry Partners Fund,blackberry partners,2008-05-01
f:10580,Group Arnault,group arnault,
f:10581,FedDev IBI,feddev ibi,
f:10582,Medical Research Commercialisation Fund (MRCF),medical research commercialisationmrcf,2007-01-01
f:10583,Brandon Biosciences Fund 1 (BBF1),brandon biosciences1 bbf1,2008-01-01
f:10584,Graph Investments,graph investments,
f:10586,RSL Ventures,rsl ventures,
f:10587,LX Ventures,lx ventures,2012-01-01
f:1059,Motorola Solutions Venture Capital,motorola solutions venture,
f:10591,Digital First Ventures,digital first ventures,2011-01-01
f:10592,Binary Options Profits,binary options profits,2012-01-01
f:10593,0,0,
f:10594,8capita Partners,8capita,
f:10595,Mansa Capital,mansa,2003-01-01
f:10597,Northwater Intellectual Property Fund,northwater intellectual property,
f:10598,Compare Money Transfers,compare money transfers,2006-05-03
f:10599,Send Money Home,send money home,2002-06-29
f:1060,JAFCO Asia,jafco asia,1990-01-01
f:10600,Financial Administration Dept. City of Hamburg,financial administration dept city of hamburg,
f:10601,Staffquick,staffquick,2011-01-01
f:10603,ERGO Capital Partners,ergopartners,2010-01-01
f:10604,e.Bricks Digital,e bricks digital,2012-10-08
f:10608,Playfair Capital,playfair,
f:1061,Eastven Venture Partners,eastven venture,
f:10610,BASRAH INTERNATIONAL AIRPORT,basrah international airport,
f:10611,Malloy and Company,malloy and company,
f:10612,Linseed Capital,linseed,2007-01-01
f:10613,Nebraska Innovation Fund: Prototype Fund (Grant),nebraska innovationprototypegrant,
