invested_id,investor_id,date,round,amount
c:27429,c:78719,2011-06-09,venture,15000000
c:78813,c:78812,2008-09-01,series-a,5700000
c:35437,c:33654,2011-06-15,series-c+,30000000
c:3860,c:32113,2011-06-20,series-c+,50000000
c:3860,c:28787,2011-06-20,series-c+,50000000
c:3860,c:28,2011-06-20,series-c+,50000000
c:245097,c:20953,2011-02-16,series-a,2000000
c:48619,c:30570,2011-06-20,series-c+,14000000
c:48619,c:38038,2011-06-20,series-c+,14000000
c:70139,c:1666,2011-06-21,series-a,5550000
c:78868,c:362,2011-06-27,angel,1000000
c:80398,c:34590,2011-06-27,venture,35000000
c:16593,c:317,2011-07-07,venture,0
c:81822,c:2520,2011-07-12,series-a,2100000
c:49031,c:13402,2002-11-01,series-c+,38000000
c:49031,c:81939,2002-11-01,series-c+,38000000
c:49031,c:64372,2005-11-01,series-c+,20000000
c:69948,c:18127,2011-07-19,series-a,6555160
c:169876,c:7956,2011-08-11,series-a,7700000
c:51794,c:22057,2011-07-27,series-a,7000000
c:83557,c:33472,2011-07-28,series-c+,20000000
c:83700,c:20953,2011-07-30,angel,500000
c:761,c:84069,2011-09-22,series-c+,75000000
c:12,c:84069,2011-08-02,series-c+,400000000
c:40418,c:59155,2011-08-04,venture,35088928
c:26028,c:20953,2011-08-09,series-a,4100000
c:65623,c:2520,2011-08-10,venture,1500000
c:183,c:1972,2011-10-28,series-c+,81000000
c:59349,c:362,2011-04-15,angel,600000
c:41539,c:40413,2011-08-23,series-a,1500000
c:86562,c:1972,2011-08-29,series-a,10500000
c:86562,c:36547,2011-08-29,series-a,10500000
c:28424,c:233529,2011-08-30,series-b,15000000
c:77400,c:362,2013-04-29,series-a,2500000
c:10272,c:18311,2011-09-07,venture,200000000
c:10272,c:51828,2011-09-07,venture,200000000
c:15952,c:32264,2011-09-08,venture,22000000
c:82668,c:58717,2011-09-08,series-a,1500000
c:82668,c:179680,2011-09-08,series-a,1500000
c:64284,c:362,2011-09-01,angel,900000
c:949,c:28,2011-09-08,series-c+,10000000
c:34402,c:838,2011-09-08,venture,100000000
c:27891,c:28,2011-09-12,series-c+,7500000
c:67872,c:362,2011-09-22,angel,730000
c:67872,c:20953,2011-09-22,angel,730000
c:61074,c:362,2011-09-19,other,810000
c:1660,c:106661,2011-09-19,venture,85000000
c:1475,c:317,2011-09-19,venture,2000000
c:1639,c:1640,2011-09-21,venture,133000000
c:1873,c:63992,2011-09-22,series-c+,13000000
c:46294,c:26439,2012-09-20,series-c+,26198006
c:46294,c:64703,2012-09-20,series-c+,26198006
c:34607,c:164199,2011-11-17,series-a,2100000
c:1721,c:5622,2011-09-29,venture,30000000
c:131551,c:40489,2011-07-29,venture,54000000
c:137099,c:1972,2011-10-10,venture,0
c:137138,c:4175,2011-10-11,series-a,2000000
c:137138,c:137136,2011-10-11,series-a,2000000
c:742,c:41,2011-10-27,series-c+,14000000
c:832,c:1640,2011-10-17,series-c+,12000000
c:70791,c:38728,2011-10-19,series-a,14500000
c:70791,c:1230,2011-10-19,series-a,14500000
c:77339,c:17218,2011-10-20,series-b,6400000
c:21501,c:46364,2012-02-10,series-c+,8000000
c:63505,c:139356,2011-10-21,series-b,20000000
c:37381,c:69527,2001-09-01,series-c+,18000000
c:85509,c:2520,2011-10-27,venture,2500000
